Source;Target;Type;Id;Weight
269;60;Directed;13942;0.998756356
296;71;Directed;10811;0.998477875
2541;45;Directed;17902;0.997933387
132;45;Directed;12511;0.997599202
7604;99;Directed;11334;0.997278053
52;2;Directed;20160;0.997222857
84;263;Directed;20760;0.996414426
7562;41;Directed;11372;0.995910612
68;46;Directed;17247;0.995858538
142;7;Directed;13439;0.995324213
39;4;Directed;15574;0.99526048
11;47;Directed;10566;0.995198155
2626;76;Directed;18252;0.994327045
30;7;Directed;11416;0.994212903
7536;7;Directed;20636;0.994175426
3093;61;Directed;11540;0.993738553
603;5;Directed;13092;0.993109166
814;68;Directed;13359;0.992254687
164;2;Directed;15657;0.992200215
265;8;Directed;15982;0.992092441
1241;50;Directed;12999;0.991410326
191;145;Directed;15172;0.991353468
176;9;Directed;20786;0.990850475
7517;62;Directed;13732;0.99081866
231;132;Directed;19216;0.990527313
18;294;Directed;14782;0.990496944
174;7;Directed;19046;0.990454832
23;129;Directed;11246;0.990300161
254;28;Directed;15558;0.99
55;283;Directed;15853;0.99
67;746;Directed;19988;0.99
195;28;Directed;14975;0.99
2526;137;Directed;13087;0.99
97;9;Directed;14388;0.99
61;46;Directed;14928;0.99
7602;53;Directed;15740;0.99
104;86;Directed;15173;0.99
7336;68;Directed;13662;0.99
6958;104;Directed;16262;0.99
244;2;Directed;10837;0.99
15;352;Directed;18288;0.99
372;5;Directed;16380;0.99
7595;123;Directed;12606;0.99
15;94;Directed;12305;0.99
265;25;Directed;14532;0.99
745;71;Directed;15415;0.99
11;122;Directed;13354;0.99
1458;28;Directed;17278;0.99
227;145;Directed;17751;0.99
21;11;Directed;19766;0.99
7601;53;Directed;15130;0.99
37;2;Directed;17815;0.99
2171;69;Directed;12920;0.99
6;138;Directed;18309;0.99
430;59;Directed;16898;0.99
421;147;Directed;18731;0.99
726;28;Directed;14284;0.99
43;32;Directed;19121;0.99
318;145;Directed;16950;0.99
264;2;Directed;20122;0.99
804;1;Directed;10889;0.99
9;20;Directed;18105;0.99
160;1;Directed;16743;0.99
285;38;Directed;12275;0.99
97;273;Directed;18959;0.99
7188;1;Directed;12189;0.99
159;2;Directed;20332;0.99
2509;139;Directed;18253;0.99
870;137;Directed;12361;0.99
971;81;Directed;13341;0.99
827;100;Directed;11175;0.99
120;49;Directed;17329;0.99
68;5;Directed;17504;0.99
585;2;Directed;18454;0.99
131;791;Directed;14487;0.99
7337;13;Directed;12054;0.99
30;188;Directed;12351;0.99
97;2;Directed;16572;0.99
92;31;Directed;10537;0.99
45;44;Directed;15176;0.99
2414;34;Directed;20369;0.99
215;4;Directed;11609;0.99
7517;7;Directed;15004;0.99
26;88;Directed;12657;0.99
7481;141;Directed;18363;0.99
2445;16;Directed;17831;0.99
21;41;Directed;20865;0.99
