Source;Target;Type;Id;Weight
13;25;Directed;118262;0.977678857
2628;2571;Directed;118264;0.970158758
660;1545;Directed;118269;0.977890364
1896;1771;Directed;118279;0.996875826
1543;2683;Directed;118322;0.959675783
64;104;Directed;118358;0.961763543
1685;1839;Directed;118422;0.964520807
300;529;Directed;118453;0.996406527
2688;2028;Directed;118503;0.977416302
908;1257;Directed;118527;0.983859085
911;548;Directed;118559;0.978441197
2632;2628;Directed;118574;0.992294893
425;309;Directed;118624;0.99336762
1437;1669;Directed;118629;0.988824309
2303;25;Directed;118686;0.976500966
2680;1810;Directed;118698;0.9918218
832;920;Directed;118702;0.995199609
1846;1386;Directed;118746;0.976191716
2680;2176;Directed;118802;0.991393683
2305;2377;Directed;118826;0.973123519
149;25;Directed;118833;0.979401231
1629;25;Directed;118835;0.956704094
908;1013;Directed;118896;0.973870853
1787;1779;Directed;118947;0.974806648
2859;2953;Directed;118970;0.985873664
1291;1277;Directed;119015;0.992713354
500;1191;Directed;119031;0.971654045
1012;554;Directed;119090;0.965044243
241;249;Directed;119103;0.970416152
2672;2629;Directed;119353;0.976729346
1285;923;Directed;119390;0.998394475
533;530;Directed;119402;0.997191609
237;202;Directed;119453;0.977665422
104;23;Directed;119478;0.977194645
1572;1600;Directed;119500;0.971916733
2786;35;Directed;119528;0.981064299
2884;1675;Directed;119536;0.97429859
922;1122;Directed;119742;0.966840225
540;7;Directed;119746;0.97176378
1232;923;Directed;119792;0.961302839
2628;2574;Directed;119815;0.970041771
2507;1185;Directed;119825;0.974283107
2812;2028;Directed;119828;0.990276913
922;894;Directed;119835;0.96523895
2672;2631;Directed;119850;0.995801742
1133;710;Directed;119903;0.955896519
119;1;Directed;119936;0.984799191
1689;1;Directed;120045;0.969832749
2616;35;Directed;120109;0.998728384
1139;1140;Directed;120213;0.961652808
35;1437;Directed;120233;0.956519833
342;395;Directed;120262;0.98633446
410;201;Directed;120270;0.951061775
1125;882;Directed;120304;0.996419328
2823;2782;Directed;120329;0.953242709
2574;2700;Directed;120378;0.977936217
1;4;Directed;120382;0.978051167
132;7;Directed;120415;0.95361574
1267;1328;Directed;120431;0.988675551
2176;1;Directed;120452;0.958975852
911;908;Directed;120461;0.967768988
602;159;Directed;120476;0.968484139
2067;1731;Directed;120487;0.969675379
923;920;Directed;120512;0.993660446
1566;1386;Directed;120530;0.998918714
2632;1543;Directed;120576;0.983250912
1185;801;Directed;120612;0.970693142
2680;1543;Directed;120650;0.966822643
2884;2028;Directed;120674;0.959134242
606;908;Directed;120682;0.991279231
2942;25;Directed;120714;0.955743067
2377;2313;Directed;120761;0.98710457
219;1;Directed;120764;0.988632651
1896;2076;Directed;120800;0.968751659
1384;1201;Directed;120839;0.95320393
823;2078;Directed;120858;0.992276809
1829;25;Directed;120885;0.953501258
2866;2688;Directed;120995;0.971354407
313;45;Directed;121031;0.999442213
2682;1810;Directed;121100;0.980044646
2680;2682;Directed;121192;0.981109113
1878;25;Directed;121271;0.966656228
184;720;Directed;121279;0.954427698
2409;2028;Directed;121313;0.994745089
2788;2647;Directed;121370;0.984559091
2693;2427;Directed;121382;0.996243052
1629;1383;Directed;121415;0.970340508
1098;7;Directed;121489;0.966051088
1995;1840;Directed;121571;0.987841401
2080;2082;Directed;121574;0.969998785
1318;1877;Directed;121595;0.969804004
1771;25;Directed;121601;0.974615314
2828;2647;Directed;121603;0.97677458
1948;1615;Directed;121633;0.999086733
60;257;Directed;121647;0.972075408
2631;2570;Directed;121658;0.952016946
2603;2601;Directed;121689;0.988116217
1267;546;Directed;121698;0.970990784
2080;25;Directed;121722;0.960920068
2682;1201;Directed;121743;0.974595552
2128;2118;Directed;121800;0.971994771
