Source;Target;Type;Id;Weight
38;475;Directed;93247;0.998
9;569;Directed;93211;0.967034739
542;97;Directed;93370;0.935398011
97;542;Directed;93380;0.898582951
38;502;Directed;93390;0.883066888
323;281;Directed;94056;0.891381336
355;316;Directed;93517;0.869594435
41;389;Directed;93249;0.868806916
316;355;Directed;93308;0.885812635
12;569;Directed;93375;0.846127599
277;609;Directed;93367;0.864408227
38;313;Directed;93644;0.84686071
321;392;Directed;93806;0.845171394
9;8;Directed;93689;0.855031338
38;288;Directed;93224;0.804297736
323;68;Directed;93213;0.806752496
19;409;Directed;93152;0.784635902
605;704;Directed;93393;0.776497242
281;323;Directed;93277;0.78595858
12;175;Directed;94408;0.763415813
41;177;Directed;93184;0.745787354
317;308;Directed;94310;0.762621317
683;413;Directed;93500;0.765480241
41;502;Directed;93478;0.743157971
509;454;Directed;94072;0.731620172
325;97;Directed;93240;0.73473963
413;683;Directed;93179;0.713979749
41;63;Directed;93290;0.722006218
323;88;Directed;93149;0.725103497
297;422;Directed;94930;0.726538525
204;51;Directed;93311;0.713576168
277;649;Directed;93414;0.70756365
638;254;Directed;94113;0.693849537
97;325;Directed;93430;0.680882681
400;396;Directed;93471;0.693527121
323;367;Directed;93482;0.695644156
501;236;Directed;94233;0.674611431
128;236;Directed;94120;0.686353781
599;289;Directed;94657;0.665299825
704;605;Directed;93314;0.688412497
289;835;Directed;93188;0.682337811
48;175;Directed;94114;0.659340162
175;48;Directed;94323;0.653972484
332;281;Directed;93423;0.657016829
357;409;Directed;93749;0.679381767
27;414;Directed;93472;0.65389566
753;758;Directed;94608;0.679005748
398;405;Directed;94811;0.64076383
72;683;Directed;93821;0.64887691
683;48;Directed;93337;0.661446867
617;640;Directed;94523;0.641990503
704;617;Directed;93318;0.651548844
103;63;Directed;95001;0.648821599
9;177;Directed;93816;0.631421575
9;288;Directed;95159;0.637840793
335;6;Directed;93837;0.642151189
103;392;Directed;93577;0.647986524
605;263;Directed;93345;0.630350181
683;72;Directed;93512;0.646269964
9;683;Directed;93820;0.6526719
617;272;Directed;93209;0.655059039
431;323;Directed;93631;0.654470418
41;168;Directed;94801;0.640324971
220;95;Directed;93440;0.634225853
308;281;Directed;93239;0.621633028
236;128;Directed;94526;0.645004547
483;368;Directed;93200;0.618013639
536;532;Directed;94108;0.633329986
465;398;Directed;93162;0.624397358
48;538;Directed;94094;0.644803708
538;48;Directed;96372;0.634904011
835;289;Directed;94700;0.639397712
801;313;Directed;94979;0.620795926
101;190;Directed;93508;0.609191218
212;48;Directed;93424;0.627735635
51;324;Directed;93509;0.62263353
324;51;Directed;96218;0.625414521
34;313;Directed;94774;0.602818666
642;323;Directed;94836;0.610457606
367;323;Directed;94777;0.62199928
323;124;Directed;93693;0.607612778
48;683;Directed;93724;0.621876176
617;704;Directed;94083;0.624624051
12;711;Directed;93365;0.616975389
220;48;Directed;93189;0.598940408
303;212;Directed;93945;0.60025659
12;288;Directed;94775;0.599877478
378;396;Directed;93561;0.61761498
281;308;Directed;93278;0.594662798
143;201;Directed;93588;0.611636988
19;538;Directed;93206;0.613978531
557;302;Directed;93755;0.595468013
465;456;Directed;94004;0.593467182
9;598;Directed;95309;0.617410292
68;323;Directed;95462;0.617714058
758;741;Directed;95288;0.607826463
372;569;Directed;93580;0.606770954
569;372;Directed;94147;0.5894431
12;823;Directed;93284;0.611966893
733;313;Directed;93608;0.590039813
254;605;Directed;93849;0.606751112
144;48;Directed;93624;0.597055321
103;324;Directed;94091;0.586329639
297;325;Directed;95961;0.573112752
337;281;Directed;93246;0.573075911
316;263;Directed;94772;0.579427326
475;75;Directed;93173;0.573251696
302;557;Directed;93334;0.599287422
372;437;Directed;95039;0.600188255
321;454;Directed;93302;0.585229687
532;536;Directed;94052;0.593420673
323;640;Directed;94978;0.578266522
605;413;Directed;93832;0.576236072
400;323;Directed;94100;0.59635113
479;711;Directed;93575;0.576338701
605;74;Directed;98364;0.583865808
9;282;Directed;93742;0.58910304
204;48;Directed;93326;0.575143574
204;68;Directed;93449;0.586390784
294;51;Directed;94659;0.567720591
212;51;Directed;95076;0.577932627
317;254;Directed;95328;0.56334913
281;263;Directed;95636;0.567837365
263;316;Directed;93909;0.580386666
335;72;Directed;93672;0.578259023
176;396;Directed;93771;0.577876966
212;413;Directed;94211;0.560636902
6;413;Directed;93869;0.558776693
67;475;Directed;93410;0.578990573
38;177;Directed;93825;0.579503236
325;482;Directed;93484;0.579307474
38;128;Directed;93807;0.578836239
212;368;Directed;94404;0.567735175
605;272;Directed;93748;0.557679968
389;236;Directed;93942;0.586049844
712;6;Directed;93272;0.56019388
6;712;Directed;94632;0.573185971
617;103;Directed;93775;0.557658707
316;325;Directed;95264;0.567554894
372;766;Directed;94429;0.579346273
711;479;Directed;94541;0.55948006
181;454;Directed;93466;0.568320806
41;766;Directed;94747;0.586225795
67;32;Directed;93489;0.56507413
335;34;Directed;93177;0.55267163
254;378;Directed;93822;0.539962601
289;392;Directed;95671;0.545115634
321;460;Directed;95229;0.563818433
297;263;Directed;93865;0.552237114
75;475;Directed;94910;0.560716713
44;74;Directed;93248;0.545982711
571;128;Directed;94042;0.564559824
9;601;Directed;94097;0.568845148
605;103;Directed;93897;0.562399122
51;525;Directed;94510;0.550718067
372;495;Directed;97854;0.561117541
454;181;Directed;93442;0.547087523
48;753;Directed;93281;0.547102784
236;389;Directed;94506;0.551964489
103;462;Directed;93257;0.542938834
103;617;Directed;93643;0.54679399
766;41;Directed;94463;0.558381589
128;542;Directed;96311;0.557258028
263;281;Directed;94177;0.533305325
88;323;Directed;93156;0.545450503
19;365;Directed;93291;0.54757632
335;368;Directed;95251;0.527783123
6;378;Directed;95122;0.535882289
176;392;Directed;93943;0.539750098
392;228;Directed;93751;0.536572765
357;502;Directed;93418;0.540196857
474;32;Directed;94156;0.537736993
509;302;Directed;93158;0.548384131
36;73;Directed;94762;0.525409148
447;254;Directed;93629;0.538826142
701;254;Directed;94957;0.529841903
323;400;Directed;93236;0.535235234
297;272;Directed;93784;0.539465858
212;712;Directed;94011;0.539711899
626;649;Directed;93735;0.524729713
462;103;Directed;94901;0.528653868
561;254;Directed;94937;0.535909371
617;74;Directed;93657;0.533657495
605;254;Directed;94088;0.544133602
605;368;Directed;93469;0.550226904
617;462;Directed;94390;0.525592874
350;617;Directed;93707;0.540873405
741;758;Directed;93350;0.523372736
728;323;Directed;94414;0.541709869
770;454;Directed;93700;0.53008977
766;372;Directed;94190;0.544797883
323;642;Directed;93321;0.546021773
681;788;Directed;95200;0.522823517
638;646;Directed;95696;0.540901598
617;734;Directed;95987;0.529796169
176;63;Directed;95875;0.517035676
63;127;Directed;93219;0.514930378
48;52;Directed;97679;0.503426828
212;34;Directed;93956;0.521735585
260;51;Directed;93163;0.52374077
144;99;Directed;93930;0.524785062
313;34;Directed;97892;0.503215472
378;254;Directed;95108;0.513544211
263;308;Directed;95694;0.512441211
396;378;Directed;95871;0.517824883
378;6;Directed;94125;0.5180955
413;6;Directed;93970;0.50311464
405;263;Directed;95515;0.52934167
263;297;Directed;93772;0.523322684
355;102;Directed;97205;0.50438722
368;359;Directed;93653;0.504634978
359;368;Directed;93268;0.510489644
228;392;Directed;93235;0.521168233
67;72;Directed;94186;0.502739277
204;482;Directed;94089;0.523165308
583;214;Directed;93150;0.519480799
193;389;Directed;94835;0.504998893
542;389;Directed;93263;0.513653754
605;337;Directed;94824;0.50398576
325;542;Directed;95449;0.516714108
652;654;Directed;96380;0.524127398
325;316;Directed;94838;0.511480875
525;51;Directed;95223;0.516426285
683;194;Directed;95649;0.503671172
551;673;Directed;94929;0.513745425
12;389;Directed;94337;0.520061551
713;712;Directed;94975;0.52353877
252;481;Directed;93920;0.518876616
726;97;Directed;93951;0.519215677
27;278;Directed;96718;0.511544064
9;409;Directed;95024;0.510717159
697;741;Directed;93413;0.50814737
542;325;Directed;93194;0.508189885
638;697;Directed;94165;0.513308686
400;683;Directed;93668;0.517836565
640;617;Directed;94595;0.509156784
679;557;Directed;93341;0.504938635
481;252;Directed;99787;0.517070965
32;177;Directed;93362;0.494944952
103;175;Directed;95228;0.490434869
212;6;Directed;93221;0.484987624
9;175;Directed;93256;0.483726403
52;48;Directed;94613;0.490371388
9;299;Directed;93619;0.483413516
317;263;Directed;94866;0.491845188
204;298;Directed;94434;0.486302445
