Source;Target;Type;Id;Weight
1008;630;Undirected;2490;0.995
369;352;Undirected;444;0.991
1133;4;Undirected;1726;0.988762264
395;630;Undirected;731;0.985201117
801;1057;Undirected;1388;0.98
1024;1057;Undirected;1527;0.95
428;994;Undirected;2311;0.932545226
1012;553;Undirected;1685;0.931587353
348;616;Undirected;1802;0.92712589
801;1024;Undirected;995;0.92
395;335;Undirected;2307;0.915457419
1002;390;Undirected;981;0.907247398
840;852;Undirected;988;0.902208855
1135;175;Undirected;697;0.891641272
553;160;Undirected;142;0.888503537
369;900;Undirected;1013;0.881205461
402;285;Undirected;483;0.80329885
1133;844;Undirected;65;0.802181903
1002;1088;Undirected;2285;0.802049306
61;966;Undirected;1118;0.798918281
1054;913;Undirected;1709;0.798546319
630;705;Undirected;917;0.798479385
616;949;Undirected;1526;0.798005104
551;348;Undirected;1737;0.796025669
1008;395;Undirected;189;0.794230813
551;616;Undirected;1162;0.789487195
335;1006;Undirected;772;0.788970072
630;335;Undirected;366;0.785364192
320;818;Undirected;74;0.784752634
1088;390;Undirected;1234;0.781271112
402;148;Undirected;152;0.781094341
428;942;Undirected;205;0.77949328
386;160;Undirected;2237;0.778676153
336;1135;Undirected;2004;0.778131019
402;705;Undirected;1901;0.777004557
393;616;Undirected;1346;0.776265304
115;699;Undirected;2068;0.77310667
722;592;Undirected;1922;0.772370789
818;123;Undirected;405;0.771914138
392;928;Undirected;1728;0.769364086
393;348;Undirected;480;0.765797429
561;342;Undirected;2132;0.764361735
551;393;Undirected;2402;0.763339287
4;844;Undirected;2395;0.763074689
1012;160;Undirected;851;0.761891529
105;61;Undirected;2145;0.757841679
863;858;Undirected;429;0.756750604
172;1006;Undirected;160;0.75550044
508;160;Undirected;2183;0.753720422
733;852;Undirected;1905;0.752750829
1006;705;Undirected;2475;0.751877021
541;949;Undirected;1231;0.75035097
883;541;Undirected;2457;0.632040552
4;566;Undirected;887;0.631581632
970;949;Undirected;1485;0.630595739
286;237;Undirected;450;0.629631032
191;616;Undirected;715;0.629556417
482;160;Undirected;872;0.629419598
803;34;Undirected;583;0.628973708
1002;452;Undirected;2439;0.628649302
773;616;Undirected;651;0.628454052
367;518;Undirected;625;0.627618282
189;828;Undirected;1578;0.627547897
816;25;Undirected;1462;0.625550904
788;482;Undirected;1180;0.624935812
788;160;Undirected;1342;0.624724375
61;18;Undirected;1324;0.624083568
191;949;Undirected;2298;0.623721628
593;177;Undirected;1717;0.623698675
1107;177;Undirected;181;0.623261766
883;949;Undirected;318;0.622998221
913;402;Undirected;264;0.62198463
1012;940;Undirected;1356;0.621865291
783;1012;Undirected;1172;0.62180616
402;1006;Undirected;4;0.620728771
507;630;Undirected;237;0.620513118
1057;587;Undirected;2223;0.620072631
515;818;Undirected;508;0.619924249
591;390;Undirected;1493;0.619401837
1024;592;Undirected;1946;0.618558164
386;788;Undirected;803;0.618440211
656;445;Undirected;422;0.618319283
773;949;Undirected;2018;0.618118503
146;1006;Undirected;582;0.618031873
578;994;Undirected;1153;0.617478692
465;303;Undirected;2094;0.616575142
348;949;Undirected;645;0.61578323
257;61;Undirected;1483;0.615399259
34;1006;Undirected;20;0.615076828
940;160;Undirected;1373;0.614740577
329;213;Undirected;382;0.614455767
817;193;Undirected;810;0.614428707
268;789;Undirected;98;0.614153798
697;92;Undirected;821;0.614100642
1093;706;Undirected;2098;0.613886612
286;725;Undirected;439;0.612626718
189;548;Undirected;435;0.612467375
148;72;Undirected;1746;0.612286825
615;977;Undirected;826;0.612102485
548;828;Undirected;518;0.611898405
175;206;Undirected;1290;0.611593149
402;92;Undirected;2364;0.611032689
1135;673;Undirected;2366;0.610886739
840;733;Undirected;1273;0.610859573
722;957;Undirected;607;0.610824129
594;352;Undirected;1371;0.610823587
452;1088;Undirected;1760;0.610411128
335;694;Undirected;1052;0.610268325
320;123;Undirected;811;0.610246528
564;1014;Undirected;705;0.609846938
630;694;Undirected;1189;0.609769161
452;390;Undirected;238;0.609560568
352;174;Undirected;50;0.608278494
191;773;Undirected;1022;0.60823734
257;819;Undirected;1772;0.60680536
705;2;Undirected;2348;0.605778011
706;616;Undirected;721;0.605605664
320;780;Undirected;1210;0.60540595
233;706;Undirected;1674;0.604866295
698;25;Undirected;1137;0.604621539
855;369;Undirected;2390;0.604381634
940;553;Undirected;108;0.60390027
582;1037;Undirected;618;0.603180599
268;45;Undirected;171;0.601958841
722;286;Undirected;1374;0.601771875
428;578;Undirected;185;0.601768274
392;818;Undirected;1198;0.601345271
541;539;Undirected;1632;0.600115891
858;942;Undirected;1169;0.599964322
541;778;Undirected;1715;0.599640707
321;269;Undirected;1793;0.599222763
840;445;Undirected;1402;0.598644367
630;954;Undirected;436;0.598394408
